Category,Symptoms,Range,Values
Effect of the coronavirus (COVID-19) pandemic on their life,No or mild symptoms,Average,22
Effect of the coronavirus (COVID-19) pandemic on their life,No or mild symptoms,LCL,20
Effect of the coronavirus (COVID-19) pandemic on their life,No or mild symptoms,UCL,23
Effect of the coronavirus (COVID-19) pandemic on their life,Moderate to severe symptoms,Average,39
Effect of the coronavirus (COVID-19) pandemic on their life,Moderate to severe symptoms,LCL,34
Effect of the coronavirus (COVID-19) pandemic on their life,Moderate to severe symptoms,UCL,45
The Environment,No or mild symptoms,Average,56
The Environment,No or mild symptoms,LCL,54
The Environment,No or mild symptoms,UCL,58
The Environment,Moderate to severe symptoms,Average,64
The Environment,Moderate to severe symptoms,LCL,59
The Environment,Moderate to severe symptoms,UCL,69
The conflict in Ukraine,No or mild symptoms,Average,72
The conflict in Ukraine,No or mild symptoms,LCL,70
The conflict in Ukraine,No or mild symptoms,UCL,74
The conflict in Ukraine,Moderate to severe symptoms,Average,71
The conflict in Ukraine,Moderate to severe symptoms,LCL,66
The conflict in Ukraine,Moderate to severe symptoms,UCL,76
Rising costs ofliving,No or mild symptoms,Average,75
Rising costs ofliving,No or mild symptoms,LCL,73
Rising costs ofliving,No or mild symptoms,UCL,77
Rising costs ofliving,Moderate to severe symptoms,Average,92
Rising costs ofliving,Moderate to severe symptoms,LCL,90
Rising costs ofliving,Moderate to severe symptoms,UCL,95
